step,best_idx,offset,steer,free_ahead,speed
225,561,0.0389,0.0136,6.2010,4.0000
226,552,0.0222,0.0078,2.2263,1.0000
227,560,0.0370,0.0130,6.1438,4.0000
228,551,0.0204,0.0071,2.2433,1.0000
229,560,0.0370,0.0130,6.1155,4.0000
230,550,0.0185,0.0065,2.2610,1.0000
231,559,0.0352,0.0123,6.0886,4.0000
232,551,0.0204,0.0071,2.2795,1.0000
233,559,0.0352,0.0123,6.3187,4.0000
234,549,0.0167,0.0058,2.2986,1.0000
235,559,0.0352,0.0123,6.3092,4.0000
236,549,0.0167,0.0058,2.3184,1.0000
237,558,0.0333,0.0117,6.2673,4.0000
238,548,0.0148,0.0052,2.3387,1.0000
239,558,0.0333,0.0117,6.4908,4.0000
240,547,0.0130,0.0045,2.3594,1.0000
241,558,0.0333,0.0117,6.1629,4.0000
242,547,0.0130,0.0045,2.3807,1.0000
243,558,0.0333,0.0117,6.4091,4.0000
244,546,0.0111,0.0039,2.4024,1.0000
245,557,0.0315,0.0110,6.3875,4.0000
246,547,0.0130,0.0045,2.4245,1.0000
247,557,0.0315,0.0110,6.6177,4.0000
248,545,0.0093,0.0032,2.4470,1.0000
249,557,0.0315,0.0110,6.5981,4.0000
250,545,0.0093,0.0032,2.4699,1.0000
251,556,0.0296,0.0104,6.5704,4.0000
252,544,0.0074,0.0026,2.4931,1.0000
253,559,0.0352,0.0123,6.5271,4.0000
254,544,0.0074,0.0026,2.5166,1.0000
255,556,0.0296,0.0104,6.4795,4.0000
256,543,0.0056,0.0019,2.5403,1.0000
257,557,0.0315,0.0110,6.7993,4.0000
258,543,0.0056,0.0019,2.5644,1.0000
259,557,0.0315,0.0110,6.7605,4.0000
260,543,0.0056,0.0019,2.5887,1.0000
261,555,0.0278,0.0097,7.0261,4.0000
262,543,0.0056,0.0019,2.6132,1.0000
263,555,0.0278,0.0097,6.9407,4.0000
264,542,0.0037,0.0013,2.6380,1.0000
265,555,0.0278,0.0097,7.2050,4.0000
