"Step","dqn - train/reward_mean","dqn - train/reward_mean__MIN","dqn - train/reward_mean__MAX"
"163","-79.72580489091109","-79.72580489091109","-79.72580489091109"
"164","-79.63138476347551","-79.63138476347551","-79.63138476347551"
"165","-79.52922278610058","-79.52922278610058","-79.52922278610058"
"166","-79.9573001595866","-79.9573001595866","-79.9573001595866"
"167","-79.96588933353313","-79.96588933353313","-79.96588933353313"
"168","-80.30485334286932","-80.30485334286932","-80.30485334286932"
"169","-80.34623656934593","-80.34623656934593","-80.34623656934593"
"170","-80.23220370492898","-80.23220370492898","-80.23220370492898"
"171","-80.29882975238375","-80.29882975238375","-80.29882975238375"
"172","-80.62132932797074","-80.62132932797074","-80.62132932797074"
"173","-80.50205304157454","-80.50205304157454","-80.50205304157454"
"174","-80.1217845335463","-80.1217845335463","-80.1217845335463"
"175","-80.12413298864384","-80.12413298864384","-80.12413298864384"
"176","-80.11504297706298","-80.11504297706298","-80.11504297706298"
"177","-79.7722316664504","-79.7722316664504","-79.7722316664504"
"178","-79.44861200220417","-79.44861200220417","-79.44861200220417"
"179","-79.86047196365428","-79.86047196365428","-79.86047196365428"
"180","-79.49303373244125","-79.49303373244125","-79.49303373244125"
"181","-79.04992014140822","-79.04992014140822","-79.04992014140822"
"182","-79.48576395898127","-79.48576395898127","-79.48576395898127"
"183","-79.69696642604657","-79.69696642604657","-79.69696642604657"
"184","-80.04434690096416","-80.04434690096416","-80.04434690096416"
"185","-80.36137316084466","-80.36137316084466","-80.36137316084466"
"186","-80.78706735551823","-80.78706735551823","-80.78706735551823"
"187","-80.07876186114271","-80.07876186114271","-80.07876186114271"
"188","-79.97414732447359","-79.97414732447359","-79.97414732447359"
"189","-80.07089270536322","-80.07089270536322","-80.07089270536322"
"190","-80.39538887929638","-80.39538887929638","-80.39538887929638"
"191","-80.26515285082627","-80.26515285082627","-80.26515285082627"
"192","-80.61532128771768","-80.61532128771768","-80.61532128771768"
"193","-80.68972335910425","-80.68972335910425","-80.68972335910425"
"194","-80.52996275464074","-80.52996275464074","-80.52996275464074"
"195","-80.43164285348729","-80.43164285348729","-80.43164285348729"
"196","-80.46533714392223","-80.46533714392223","-80.46533714392223"
"197","-79.75748801820446","-79.75748801820446","-79.75748801820446"
"198","-79.39711166052147","-79.39711166052147","-79.39711166052147"
"199","-79.20676768634468","-79.20676768634468","-79.20676768634468"
"200","-79.12115783262998","-79.12115783262998","-79.12115783262998"
"201","-78.73515337938909","-78.73515337938909","-78.73515337938909"
"202","-79.09100496579427","-79.09100496579427","-79.09100496579427"
"203","-78.75259726090822","-78.75259726090822","-78.75259726090822"
"204","-78.38362946317065","-78.38362946317065","-78.38362946317065"
"205","-78.80246019823011","-78.80246019823011","-78.80246019823011"
"206","-79.17672173688189","-79.17672173688189","-79.17672173688189"
"207","-79.34019045203924","-79.34019045203924","-79.34019045203924"
"208","-79.37352822057903","-79.37352822057903","-79.37352822057903"
"209","-79.22048201857135","-79.22048201857135","-79.22048201857135"
"210","-79.52138619813603","-79.52138619813603","-79.52138619813603"
"211","-79.45938237828203","-79.45938237828203","-79.45938237828203"
"212","-79.49671010395977","-79.49671010395977","-79.49671010395977"
"213","-79.67771374712233","-79.67771374712233","-79.67771374712233"
"214","-79.81199169121683","-79.81199169121683","-79.81199169121683"
"215","-79.83210223496891","-79.83210223496891","-79.83210223496891"
"216","-79.49162846840917","-79.49162846840917","-79.49162846840917"
"217","-80.07486015195958","-80.07486015195958","-80.07486015195958"
"218","-80.03637899131515","-80.03637899131515","-80.03637899131515"
"219","-80.00254476659931","-80.00254476659931","-80.00254476659931"
"220","-80.13203151887748","-80.13203151887748","-80.13203151887748"
"221","-80.71223647450097","-80.71223647450097","-80.71223647450097"
"222","-80.60281525720842","-80.60281525720842","-80.60281525720842"
"223","-80.45602099505719","-80.45602099505719","-80.45602099505719"
"224","-80.38583924835548","-80.38583924835548","-80.38583924835548"
"225","-80.44002914411016","-80.44002914411016","-80.44002914411016"
"226","-80.65798047645949","-80.65798047645949","-80.65798047645949"
"227","-80.6562054406898","-80.6562054406898","-80.6562054406898"
"228","-80.97289023938123","-80.97289023938123","-80.97289023938123"
"229","-80.99314166252967","-80.99314166252967","-80.99314166252967"
"230","-81.51179265158717","-81.51179265158717","-81.51179265158717"
"231","-81.22861280777026","-81.22861280777026","-81.22861280777026"
"232","-81.83252291468438","-81.83252291468438","-81.83252291468438"
"233","-82.1138902257476","-82.1138902257476","-82.1138902257476"
"234","-82.1052855053777","-82.1052855053777","-82.1052855053777"
"235","-81.79779000613372","-81.79779000613372","-81.79779000613372"
"236","-81.90731486973819","-81.90731486973819","-81.90731486973819"
"237","-81.88208537315484","-81.88208537315484","-81.88208537315484"
"238","-82.40617362628691","-82.40617362628691","-82.40617362628691"
"239","-82.27479160984046","-82.27479160984046","-82.27479160984046"
"240","-82.5644378266111","-82.5644378266111","-82.5644378266111"
"241","-82.53785382006318","-82.53785382006318","-82.53785382006318"
"242","-82.5765709235333","-82.5765709235333","-82.5765709235333"
"243","-82.59609546408522","-82.59609546408522","-82.59609546408522"
"244","-82.37765312961302","-82.37765312961302","-82.37765312961302"
"245","-82.85793168399948","-82.85793168399948","-82.85793168399948"
"246","-82.84095525219571","-82.84095525219571","-82.84095525219571"
"247","-83.19721966853831","-83.19721966853831","-83.19721966853831"
"248","-83.14014712666162","-83.14014712666162","-83.14014712666162"
"249","-82.8987256236095","-82.8987256236095","-82.8987256236095"
"250","-83.10408114725229","-83.10408114725229","-83.10408114725229"
"251","-83.26565948665113","-83.26565948665113","-83.26565948665113"
"252","-83.28383974142344","-83.28383974142344","-83.28383974142344"
"253","-82.85591469723236","-82.85591469723236","-82.85591469723236"
"254","-83.57172143725154","-83.57172143725154","-83.57172143725154"
"255","-83.51628101970476","-83.51628101970476","-83.51628101970476"
"256","-83.81334505708364","-83.81334505708364","-83.81334505708364"
"257","-83.84809194538684","-83.84809194538684","-83.84809194538684"
"258","-84.17930963403022","-84.17930963403022","-84.17930963403022"
"259","-84.12803207280521","-84.12803207280521","-84.12803207280521"
"260","-84.05731888572161","-84.05731888572161","-84.05731888572161"
"261","-84.24123668254761","-84.24123668254761","-84.24123668254761"
"262","-84.13969166083669","-84.13969166083669","-84.13969166083669"
"263","-83.89079616242961","-83.89079616242961","-83.89079616242961"
"264","-83.86131667179929","-83.86131667179929","-83.86131667179929"
"265","-84.09395018031297","-84.09395018031297","-84.09395018031297"
"266","-83.9773489187559","-83.9773489187559","-83.9773489187559"
"267","-83.96472288525605","-83.96472288525605","-83.96472288525605"
"268","-84.01716628699505","-84.01716628699505","-84.01716628699505"
"269","-84.53830082058849","-84.53830082058849","-84.53830082058849"
"270","-84.59808879939781","-84.59808879939781","-84.59808879939781"
"271","-84.09354716924426","-84.09354716924426","-84.09354716924426"
"272","-83.96508245416858","-83.96508245416858","-83.96508245416858"
"273","-83.61124095003528","-83.61124095003528","-83.61124095003528"
"274","-84.00419539184718","-84.00419539184718","-84.00419539184718"
"275","-83.99853961177578","-83.99853961177578","-83.99853961177578"
"276","-84.09802047165518","-84.09802047165518","-84.09802047165518"
"277","-84.07507597458024","-84.07507597458024","-84.07507597458024"
"278","-84.63631173150556","-84.63631173150556","-84.63631173150556"
"279","-84.30187179829868","-84.30187179829868","-84.30187179829868"
"280","-84.68777749514149","-84.68777749514149","-84.68777749514149"
"281","-85.03371980620024","-85.03371980620024","-85.03371980620024"
"282","-85.02354141995252","-85.02354141995252","-85.02354141995252"
"283","-84.79407761279901","-84.79407761279901","-84.79407761279901"
"284","-84.87961199603916","-84.87961199603916","-84.87961199603916"
"285","-84.62009267941059","-84.62009267941059","-84.62009267941059"
"286","-84.72147364853357","-84.72147364853357","-84.72147364853357"
"287","-85.21127623639012","-85.21127623639012","-85.21127623639012"
"288","-85.19521447231004","-85.19521447231004","-85.19521447231004"
"289","-85.14282445464225","-85.14282445464225","-85.14282445464225"
"290","-85.13720259355323","-85.13720259355323","-85.13720259355323"
"291","-85.06220655613055","-85.06220655613055","-85.06220655613055"
"292","-85.04043892026355","-85.04043892026355","-85.04043892026355"
"293","-85.13027426578512","-85.13027426578512","-85.13027426578512"
"294","-84.9638171580428","-84.9638171580428","-84.9638171580428"
"295","-84.36596140673791","-84.36596140673791","-84.36596140673791"
"296","-83.76911435896473","-83.76911435896473","-83.76911435896473"
"297","-84.22041067188547","-84.22041067188547","-84.22041067188547"
"298","-84.48932686955145","-84.48932686955145","-84.48932686955145"
"299","-84.51193464750831","-84.51193464750831","-84.51193464750831"
"300","-84.18079328812601","-84.18079328812601","-84.18079328812601"
"301","-84.55919278620219","-84.55919278620219","-84.55919278620219"
"302","-84.594770068996","-84.594770068996","-84.594770068996"
"303","-84.62334034461935","-84.62334034461935","-84.62334034461935"
"304","-85.02999215577205","-85.02999215577205","-85.02999215577205"
"305","-84.64881727277229","-84.64881727277229","-84.64881727277229"
"306","-84.66907360928526","-84.66907360928526","-84.66907360928526"
"307","-84.65516926911587","-84.65516926911587","-84.65516926911587"
"308","-84.81176549056006","-84.81176549056006","-84.81176549056006"
"309","-84.86181518503858","-84.86181518503858","-84.86181518503858"
"310","-84.91707112898511","-84.91707112898511","-84.91707112898511"
"311","-84.6323958797373","-84.6323958797373","-84.6323958797373"
"312","-84.2814130275177","-84.2814130275177","-84.2814130275177"
"313","-84.35823407985168","-84.35823407985168","-84.35823407985168"
"314","-84.154477030266","-84.154477030266","-84.154477030266"
"315","-84.36829364508755","-84.36829364508755","-84.36829364508755"
"316","-84.38455483388519","-84.38455483388519","-84.38455483388519"
"317","-84.399706897688","-84.399706897688","-84.399706897688"
"318","-83.85064681182979","-83.85064681182979","-83.85064681182979"
"319","-83.88750985089122","-83.88750985089122","-83.88750985089122"
"320","-83.62287443703404","-83.62287443703404","-83.62287443703404"
"321","-82.98330237795483","-82.98330237795483","-82.98330237795483"
"322","-82.92402068079333","-82.92402068079333","-82.92402068079333"
"323","-82.86713947423152","-82.86713947423152","-82.86713947423152"
"324","-83.22141634533531","-83.22141634533531","-83.22141634533531"
"325","-83.4007366070093","-83.4007366070093","-83.4007366070093"
"326","-82.86638453563093","-82.86638453563093","-82.86638453563093"
"327","-83.05393576733186","-83.05393576733186","-83.05393576733186"
"328","-83.12138291234034","-83.12138291234034","-83.12138291234034"
"329","-83.12483678283053","-83.12483678283053","-83.12483678283053"
"330","-82.9626989410387","-82.9626989410387","-82.9626989410387"
"331","-83.13956848861068","-83.13956848861068","-83.13956848861068"
"332","-82.93484194166842","-82.93484194166842","-82.93484194166842"
"333","-82.69920113661675","-82.69920113661675","-82.69920113661675"
"334","-82.73753749128315","-82.73753749128315","-82.73753749128315"
"335","-82.80008096312056","-82.80008096312056","-82.80008096312056"
"336","-82.69740428618039","-82.69740428618039","-82.69740428618039"
"337","-82.75470080957632","-82.75470080957632","-82.75470080957632"
"338","-82.5488527158962","-82.5488527158962","-82.5488527158962"
"339","-82.22632613632712","-82.22632613632712","-82.22632613632712"
"340","-81.99323827981833","-81.99323827981833","-81.99323827981833"
"341","-82.64941169453668","-82.64941169453668","-82.64941169453668"
