Frame,Sub Frame,"Position - Limo_02",,,"Position - Limo_04",,,"Rotation (Helical) - Limo_02",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","TX","TY","TZ","RX","RY","RZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","°","°","°","°","°","°"
129,0,"-824.303","-865.333","144.587","87.2628","29.8964","141.093","2.44518","-0.669479","183.439","2.38124","-2.30435","183.37"
130,0,"-824.313","-865.349","144.639","87.2437","29.8496","141.156","2.40685","-0.645644","183.431","2.378","-2.28401","183.366"
131,0,"-824.323","-865.369","144.613","87.2184","29.6722","141.225","2.4059","-0.644119","183.429","2.29576","-2.02119","183.342"
132,0,"-824.329","-865.365","144.63","87.1953","29.701","141.233","2.40331","-0.641581","183.431","2.33522","-2.08174","183.335"
133,0,"-824.328","-865.351","144.602","87.1947","29.7005","141.212","2.43394","-0.688201","183.436","2.32085","-2.05071","183.341"
134,0,"-824.331","-865.335","144.631","87.2075","29.8329","141.161","2.41179","-0.650877","183.454","2.36461","-2.23181","183.372"
135,0,"-824.32","-865.357","144.609","87.1908","29.9679","141.103","2.42264","-0.678319","183.429","2.40295","-2.35721","183.395"
136,0,"-824.299","-865.313","144.632","87.1945","29.7495","141.27","2.4087","-0.681153","183.447","2.30514","-2.00657","183.338"
137,0,"-824.285","-865.302","144.645","87.1411","29.7301","141.289","2.38812","-0.731757","183.442","2.28364","-1.96053","183.326"
138,0,"-824.277","-865.313","144.684","87.1505","29.6941","141.318","2.36237","-0.774813","183.438","2.27404","-1.90342","183.321"
139,0,"-824.272","-865.286","144.749","87.1684","29.9536","141.222","2.30186","-0.821163","183.445","2.3364","-2.21008","183.376"
140,0,"-824.255","-865.221","144.797","87.1382","29.7103","141.354","2.28867","-0.979237","183.459","2.24664","-1.90236","183.348"
141,0,"-824.236","-865.14","144.864","87.1462","29.9367","141.228","2.2109","-1.08049","183.469","2.33332","-2.14593","183.378"
142,0,"-824.235","-865.14","144.967","87.1158","29.721","141.371","2.14532","-1.17132","183.466","2.25579","-1.9148","183.326"
143,0,"-824.214","-865.029","145.031","87.1582","29.867","141.356","2.10066","-1.30468","183.495","2.27758","-1.91773","183.341"
144,0,"-824.214","-865.011","145.104","87.1029","29.9111","141.3","2.00668","-1.36211","183.492","2.31165","-2.08194","183.364"
145,0,"-824.222","-865.007","145.171","87.1458","29.994","141.266","1.90493","-1.3498","183.485","2.29837","-2.10671","183.408"
146,0,"-824.23","-864.996","145.24","87.1335","30.0286","141.289","1.83323","-1.36838","183.479","2.31534","-2.11981","183.394"
147,0,"-824.25","-865.012","145.293","87.1185","29.9729","141.309","1.74399","-1.30286","183.472","2.29241","-2.06193","183.379"
148,0,"-824.276","-865.023","145.312","87.1196","30.0492","141.288","1.72484","-1.32551","183.473","2.30966","-2.1673","183.404"
149,0,"-824.28","-864.979","145.359","87.0743","29.7886","141.367","1.66536","-1.37257","183.478","2.24501","-1.87214","183.335"
150,0,"-824.313","-865.015","145.413","87.0795","29.9106","141.311","1.61047","-1.36192","183.467","2.29674","-2.05125","183.378"
151,0,"-824.344","-864.991","145.423","87.1141","30.0417","141.276","1.59155","-1.34871","183.486","2.3165","-2.15875","183.413"
152,0,"-824.364","-864.994","145.481","87.1115","29.9295","141.316","1.5666","-1.38848","183.484","2.29608","-2.0689","183.386"
153,0,"-824.41","-865","145.462","87.1249","29.9304","141.283","1.55784","-1.40304","183.49","2.29928","-2.03059","183.368"
154,0,"-824.437","-864.997","145.531","87.1305","29.9562","141.295","1.52989","-1.43873","183.496","2.31206","-2.07507","183.37"
155,0,"-824.478","-865.021","145.56","87.1222","29.8687","141.284","1.52204","-1.48076","183.503","2.3015","-2.01963","183.334"
156,0,"-824.504","-865.003","145.593","87.1599","30.0158","141.282","1.51581","-1.55382","183.522","2.29369","-2.11744","183.409"
157,0,"-824.516","-864.991","145.594","87.0784","29.6647","141.385","1.51565","-1.61198","183.528","2.22966","-1.78803","183.309"
158,0,"-824.55","-864.988","145.655","87.1093","29.9212","141.298","1.49588","-1.62022","183.541","2.29876","-2.08508","183.387"
159,0,"-824.566","-864.974","145.661","87.1031","29.9252","141.288","1.50025","-1.65627","183.552","2.32465","-2.06722","183.377"
160,0,"-824.583","-865","145.688","87.113","30.026","141.288","1.49147","-1.65765","183.546","2.31148","-2.16362","183.415"
161,0,"-824.574","-864.974","145.663","87.1124","29.9886","141.283","1.50087","-1.70119","183.549","2.30511","-2.06295","183.396"
162,0,"-824.597","-865.015","145.677","87.0766","29.8641","141.327","1.49883","-1.67805","183.543","2.28886","-2.03448","183.365"
163,0,"-824.594","-865","145.689","87.1366","29.9509","141.317","1.5039","-1.70212","183.545","2.28923","-2.03417","183.376"
164,0,"-824.643","-865.017","145.648","87.0591","29.6773","141.396","1.5209","-1.57732","183.568","2.23622","-1.8012","183.302"
165,0,"-824.597","-864.992","145.662","87.1538","30.0564","141.243","1.49559","-1.72328","183.548","2.3211","-2.13471","183.392"
166,0,"-824.591","-864.967","145.692","87.0687","29.6585","141.426","1.5007","-1.72928","183.553","2.2339","-1.7628","183.301"
167,0,"-824.598","-864.986","145.694","87.1408","29.9282","141.291","1.48675","-1.68655","183.558","2.31864","-2.05493","183.357"
168,0,"-824.607","-864.984","145.699","87.1298","29.9711","141.308","1.49957","-1.69947","183.55","2.30453","-2.06454","183.401"
169,0,"-824.615","-865.001","145.693","87.0792","29.7347","141.387","1.49022","-1.72214","183.548","2.24292","-1.85623","183.319"
170,0,"-824.613","-864.992","145.698","87.061","29.7003","141.393","1.49701","-1.72058","183.548","2.21568","-1.84212","183.316"
171,0,"-824.61","-865.014","145.694","87.07","29.7143","141.41","1.49504","-1.68821","183.545","2.17598","-1.81477","183.333"
172,0,"-824.596","-864.987","145.7","87.1668","30.0126","141.299","1.49199","-1.72346","183.558","2.34044","-2.09306","183.387"
173,0,"-824.589","-864.981","145.68","87.4035","30.1285","141.288","1.48918","-1.69877","183.551","2.69548","-2.09517","183.374"
174,0,"-824.601","-865.009","145.685","87.4393","30.0698","141.311","1.50491","-1.72042","183.546","2.86182","-2.04273","183.326"
175,0,"-824.6","-864.968","145.709","87.4785","30.2088","141.307","1.48284","-1.71383","183.563","2.87295","-2.14222","183.378"
176,0,"-824.595","-864.981","145.697","87.4656","30.077","141.326","1.492","-1.73246","183.558","2.87683","-1.98662","183.316"
