"Step","sac - train/reward_mean","sac - train/reward_mean__MIN","sac - train/reward_mean__MAX"
"262","14.893659468056404","14.893659468056404","14.893659468056404"
"263","14.607394175201307","14.607394175201307","14.607394175201307"
"264","14.384360268603896","14.384360268603896","14.384360268603896"
"265","14.155069022513244","14.155069022513244","14.155069022513244"
"266","13.885442522321801","13.885442522321801","13.885442522321801"
"267","13.599584023696925","13.599584023696925","13.599584023696925"
"268","13.293209690976683","13.293209690976683","13.293209690976683"
"269","13.094518788583455","13.094518788583455","13.094518788583455"
"270","12.903032339233405","12.903032339233405","12.903032339233405"
"271","12.644130621354206","12.644130621354206","12.644130621354206"
"272","12.025130141649578","12.025130141649578","12.025130141649578"
"273","11.454109021857594","11.454109021857594","11.454109021857594"
"274","11.175759135009075","11.175759135009075","11.175759135009075"
"275","10.639604377762307","10.639604377762307","10.639604377762307"
"276","9.968173092128136","9.968173092128136","9.968173092128136"
"277","9.33431132877654","9.33431132877654","9.33431132877654"
"278","8.981533136209045","8.981533136209045","8.981533136209045"
"279","8.483352071578128","8.483352071578128","8.483352071578128"
"280","8.24830622985196","8.24830622985196","8.24830622985196"
"281","7.584554378435541","7.584554378435541","7.584554378435541"
"282","7.249309045961827","7.249309045961827","7.249309045961827"
"283","6.743373979675862","6.743373979675862","6.743373979675862"
"284","6.248083545275831","6.248083545275831","6.248083545275831"
"285","6.096895406509093","6.096895406509093","6.096895406509093"
"286","5.9031437215812455","5.9031437215812455","5.9031437215812455"
"287","5.537259743295026","5.537259743295026","5.537259743295026"
"288","4.2495705244386315","4.2495705244386315","4.2495705244386315"
"289","4.0073880672363975","4.0073880672363975","4.0073880672363975"
"290","3.1546066540202538","3.1546066540202538","3.1546066540202538"
"291","2.999743511649076","2.999743511649076","2.999743511649076"
"292","2.8341192327558473","2.8341192327558473","2.8341192327558473"
"293","2.950401509793237","2.950401509793237","2.950401509793237"
"294","3.0188577541420183","3.0188577541420183","3.0188577541420183"
"295","3.101274641648861","3.101274641648861","3.101274641648861"
"296","3.60185477852262","3.60185477852262","3.60185477852262"
"297","4.311029331936379","4.311029331936379","4.311029331936379"
"298","4.995862231418369","4.995862231418369","4.995862231418369"
"299","5.822544418946718","5.822544418946718","5.822544418946718"
"300","6.701937566893985","6.701937566893985","6.701937566893985"
"301","7.555867117024836","7.555867117024836","7.555867117024836"
