s_m,x_m,y_m,heading_rad,curvature_inv_m,width_m,left_width_m,right_width_m
6.200027881,5.966336438,1.975923579,1.922105790,0.960367014,1.000000000,0.500000000,0.500000000
6.250024630,5.948009155,2.022440087,1.970052833,0.957469606,1.000000000,0.500000000,0.500000000
6.300021104,5.927476865,2.068025968,2.017188177,0.927906226,1.000000000,0.500000000,0.500000000
6.350017091,5.904852648,2.112610085,2.063478595,0.923673896,1.000000000,0.500000000,0.500000000
6.400013667,5.880193908,2.156102661,2.110104698,0.941331387,1.000000000,0.500000000,0.500000000
6.450010691,5.853515889,2.198387241,2.157084323,0.937806887,1.000000000,0.500000000,0.500000000
6.500007405,5.824885303,2.239374568,2.203314976,0.911380448,1.000000000,0.500000000,0.500000000
6.550003556,5.794417648,2.279014663,2.248801852,0.908061747,1.000000000,0.500000000,0.500000000
6.600000026,5.762182000,2.317231283,2.294138735,0.905372480,1.000000000,0.500000000,0.500000000
6.649997579,5.728249176,2.353950742,2.340228416,0.938160066,1.000000000,0.500000000,0.500000000
6.699995194,5.692631756,2.389038645,2.386092868,0.896363130,1.000000000,0.500000000,0.500000000
6.749991834,5.655478738,2.422494845,2.430466645,0.878543067,1.000000000,0.500000000,0.500000000
6.799988532,5.616892333,2.454287283,2.473182248,0.830052615,1.000000000,0.500000000,0.500000000
6.849985958,5.577019467,2.484451785,2.513326711,0.775697537,1.000000000,0.500000000,0.500000000
6.899984347,5.536006141,2.513048043,2.550764663,0.721781503,1.000000000,0.500000000,0.500000000
6.949983736,5.493986860,2.540146362,2.585724786,0.676575095,1.000000000,0.500000000,0.500000000
6.999983746,5.451074523,2.565808247,2.618148200,0.620310262,1.000000000,0.500000000,0.500000000
7.049983934,5.407386848,2.590127085,2.647805293,0.565926488,1.000000000,0.500000000,0.500000000
7.099984208,5.363028519,2.613200144,2.674965306,0.520433728,1.000000000,0.500000000,0.500000000
7.149984650,5.318084704,2.635111276,2.699915694,0.477546759,1.000000000,0.500000000,0.500000000
7.199985296,5.272630368,2.655943172,2.722786926,0.437270742,1.000000000,0.500000000,0.500000000
7.249986153,5.226731264,2.675776425,2.743707985,0.399542113,1.000000000,0.500000000,0.500000000
7.299987216,5.180444929,2.694688896,2.762803435,0.364248196,1.000000000,0.500000000,0.500000000
7.349988476,5.133821652,2.712755330,2.780191365,0.331242879,1.000000000,0.500000000,0.500000000
7.399989920,5.086905380,2.730047174,2.795982022,0.300358742,1.000000000,0.500000000,0.500000000
7.449991535,5.039734551,2.746632537,2.810339672,0.273924154,1.000000000,0.500000000,0.500000000
7.499993263,4.992340879,2.762570313,2.823360958,0.246906071,1.000000000,0.500000000,0.500000000
7.549995009,4.944754042,2.777921782,2.834983008,0.217957169,1.000000000,0.500000000,0.500000000
7.599996752,4.897002733,2.792753732,2.845269984,0.193505609,1.000000000,0.500000000,0.500000000
7.649998515,4.849110133,2.807122976,2.854365301,0.170292931,1.000000000,0.500000000,0.500000000
7.700000318,4.801096879,2.821083911,2.862326432,0.148139948,1.000000000,0.500000000,0.500000000
7.750002170,4.752981483,2.834688832,2.869202004,0.126872230,1.000000000,0.500000000,0.500000000
7.800004072,4.704780699,2.847988257,2.875032032,0.106319706,1.000000000,0.500000000,0.500000000
7.850006019,4.656509852,2.861031262,2.879848112,0.086315836,1.000000000,0.500000000,0.500000000
7.900007999,4.608183129,2.873865820,2.883704691,0.067941140,1.000000000,0.500000000,0.500000000
7.950009994,4.559813069,2.886536132,2.886563238,0.046396132,1.000000000,0.500000000,0.500000000
8.000011996,4.511413739,2.899094198,2.888382755,0.026381647,1.000000000,0.500000000,0.500000000
8.050014003,4.462997880,2.911588410,2.889216731,0.006976047,1.000000000,0.500000000,0.500000000
8.100016012,4.414577664,2.924065733,2.889074056,-0.012682831,1.000000000,0.500000000,0.500000000
8.150018017,4.366165374,2.936573759,2.887937675,-0.032770565,1.000000000,0.500000000,0.500000000
8.200020011,4.317773656,2.949161093,2.885781552,-0.053470910,1.000000000,0.500000000,0.500000000
8.250021991,4.269415778,2.961877762,2.882570197,-0.074978150,1.000000000,0.500000000,0.500000000
8.300023957,4.221105929,2.974775633,2.878258081,-0.097499574,1.000000000,0.500000000,0.500000000
8.350025914,4.172859542,2.987908867,2.872733104,-0.123490587,1.000000000,0.500000000,0.500000000
